pali_1,pos,meaning_1,root,pattern,sbs_class
ādiyati 1,pr,takes; grasps; embraces,√ādā,ati pr,3
ādiyamāna,prp,taking; grabbing; stealing,√ādā,māna prp,10
ādisa,adj,of character; of quality; of kind; referring to,√dis 1,aī adj,11
ādīnava 1,masc,danger (in); problem (in),√dī,a masc,2
ādeti 1,pr,takes; grasps; gets; acquires,√ādā,eti pr,3
ādhipateyya,nt,authority; influence; power; determining factor,√pat 2,a nt,9
ānantarika 1,adj,immediate; without delay; with no interval; with immediate results,,a adj,11
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",√nand,a masc,2
ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of),√saṃs 1,a masc,2
āpajjati 2,pr,arouses; exhibits; produces; brings into being,√pad,ati pr,3
āpajjati 5,pr,causes; effects,√pad,ati pr,3
āpajjanta 1,prp,arousing; exhibiting; producing; bringing into being,√pad,anta prp,10
āpatti 2,fem,(vinaya) offence; wrongdoing; transgression,√pad,i fem,8
ābādha 1,masc,disease; sickness; illness; affliction,√bādh,a masc,2
ābādhato,ind,as disease; as sickness; as illness; as affliction; as oppressive,√bādh,,11
ābādhika,adj,sick; ill,√bādh,a adj,11
ābhujitvā,abs,having bent; having folded,√bhuj 2,,8
āmantayati 1,pr,tells; informs; advises,√mant,ati pr,3
āmantāpetvā,abs,having sent (for); having had summoned,√mant,,14
āmantesi,aor,addressed; said (to); advised,√mant,esi aor,4
āmisa 3,nt,worldly thing; physical item; material stuff,,a nt,9
āya 1.1,masc,coming in; income; entrance,√i 1,a masc,2
āyatiṃ,ind,in future,√yat 2,,6
āyasmant 1,masc,venerable; reverend,√i 1,ant masc,6
āyu 1,nt,life,√i 1,u nt,9
āyu 2,nt,life force; life energy,√i 1,u nt,9
āyoga 1,masc,devotion (to); practice (of); exertion (in); pursuit (of),√yuj,a masc,14
āraddha 1.1,pp,aroused; applied; undertaken,√rabh 1,a pp,11
ārabhati 1.1,pr,begins; starts; undertakes; arouses oneself (to); makes an effort (to),√rabh 1,ati pr,3
ārabhituṃ,inf,,√rabh 1,,9
ārā 2.1,fem,awl; needle,,ā fem,7
ārādhaka 1,adj,successful; accomplished,√rādh,a adj,14
ārādhayi 2,aor,pleased; satisfied,√rādh,i aor,14
ārāma 3,masc,park; parkland; nature reserve,√ram 1,a masc,2
ārogya 1,nt,health; wellness; freedom from disease,√ruj,a nt,9
ārocesi 1,aor,told (to); informed (to); explained (to),√ruc,esi aor,14
āloka,masc,light; brightness; clarity,√lok,a masc,2
āsaṅga,masc,robe; cloak,√sañj,a masc,2
āsana 1,nt,seat; chair,√ās,a nt,9
āsabhī,adj,lordly; imposing; bold,,ī adj,5
āsaya 2,masc,home (of); dwelling (of); abode (of),√sī,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent,√su 2,a masc,2
āsi 1.1,aor,was,√as 1,āsi aor irreg,4
āsevita 1,pp,practised persistently,√sev,a pp,11
āsevitabba,ptp,should be practised; should be pursued; should be indulged in,√sev,a ptp,14
āvaraṇa 1,adj,obstructing; blocking; impeding,√var 1,a adj,11
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1,a masc,2
āvi,ind,openly; in full view; face to face,,,13
āvilatta 1,nt,(of mind) fact of agitation; confusion; disturbance,√bil,a nt,9
āhāra 1,masc,food (for); fuel (for); sustenance (for); nutriment (for); (comm) condition,√har 2,a masc,2
iccha,adj,wishing for; desiring; wanting,√is,a adj,11
icchati 1.1,pr,wishes; wants; desires,√is,ati pr,3
iṭṭha 1.1,pp,pleasing; likeable; cherished; wished for,√is,a pp,11
iṇa,nt,debt; loan,,a nt,9
itara 2,pron,rest of,,a pron,10
iti,ind,thus; like this; this is; and so,,,13
ito 2,ind,(of place) from here; away from,,,13
itthatta 1,nt,present state of existence; earthly existence; such an existence,,a nt,9
itthī 1,fem,woman; female,,ī fem,8
ida,ind,in this; here,,,13
iddhi 1,fem,psychic power; psychic potency; supernormal ability,√idh,i fem,8
iddhimant,masc,who has psychic powers; possessing supernatural ability,√idh,ant masc,6
idha 1,ind,here; now; in this world,,,8
idha 2,ind,here; in this regard; in this case,,,8
indriya 1,nt,sense; mental faculty; power,,a nt,9
ima 1.1,pron,this,,ima pron,10
imasmiṃ 2,pron,when this,,ima pron,10
iriyā 2,fem,conduct; behaviour; way of living,√īr 1,ā fem,7
isi,masc,seer; sage,,i masc,4
īsī,fem,queen; female ruler,√īs,ī fem,8
ukkaṭṭhā,fem,name of town,√kas 1,ā fem,7
ukkoṭeti,pr,(of legal case) re-opens,√kuṭ 1,eti pr,14
uggacchanta,prp,(of the sun) rising; ascending; coming up,√gam,anta prp,10
uggahīta,pp,grasped; held onto; raised up,√gah,a pp,11
uggahetvā 3,abs,having learned; having memorized,√gah,,8
ucca 1,adj,high; tall,,a adj,11
uccāra,masc,excrement; faeces,√car 1,a masc,2
ucchijjati,pr,is destroyed; is annihilated,√chid,ati pr,13
ucchinna,pp,broken off; cut off; severed,√chid,a pp,11
uju 1,adj,straight; upright; erect,√uj,u adj,11
ujuṃ,ind,uprightly; erectly,√uj,,13
ujjhāyati,pr,finds fault; thinks badly of,√jhā,ati pr,3
ujjhāyanta,prp,finding fault; thinking badly of,√jhā,anta prp,10
uñcha,masc,gleaning; food gathered for subsistence,√uñch,a masc,2
uṭṭhahati 1,pr,gets up; gets out; arouses oneself,√ṭhā,ati pr,3
uṭṭhāna 1,nt,waking up; getting up; rising,√ṭhā,a nt,9
uṭṭhāna 2,nt,effort; exertion; initiative; activity,√ṭhā,a nt,9
uṭṭhāya,ger,rising (from); emerging (from); getting up (from),√ṭhā,,8
uttama 1,adj,best; highest; ultimate; supreme; top,,a adj,11
uttara 2.4,masc,name of a young Brahman,,a masc,2
uttara 2.1,adj,higher (than); superior (to),,a adj,11
uttari 1.2,ind,more (than); moreover; further (than); beyond,,,13
uttariṃ 2,ind,further; another; in addition,√tar 1,,13
uttiṇṇa,pp,(of water) crossed over; emerged from; come out the other side,√tar 1,a pp,11
udaka 1.1,nt,water,√ud,a nt,9
udapādi 1,aor,arose (for); sprung up (for),√pad,i aor,4
uddisati 1,pr,recites; chants,√dis 2,ati pr,3
uddissa 1,ger,in the name of; on account of; for the sake of; especially for,√dis 2,,8
uddissamāna,prp,being recited; being chanted,√dis 2,māna prp,13
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,√dis 2,a masc,2
uddesa 6,adj,destined for,√dis 2,a adj,11
uddesa 7,adj,intended for; designated for,√dis 2,a adj,11
uddhacca,nt,agitation; restlessness; distraction; excitement,√dhar 1,a nt,9
uddharati 1,pr,pulls up; pulls out; lifts up; raises,√dhar 1,ati pr,3
uddharati 2,pr,removes; takes away; packs up,√dhar 1,ati pr,3
uddharāpeti,pr,causes to remove; makes take away; causes to pack up,√dhar 1,eti pr,14
uddhasta 1,pp,risen; appeared,√dhaṃs,a pp,11
uddhaste aruṇe nandimukhiyā rattiyā,idiom,when the rosy smile of dawn was rising; when dawn had risen and the night had a cheerful face,,,10
upakappati,pr,,√kapp 1,ati pr,3
upagacchati 1,pr,veers towards; swerves towards,√gam,ati pr,3
upaghātī,adj,who injures; who harms,√ghaṭ 1,ī adj,5
upajjhāya,masc,preceptor; teacher; mentor,√i 2,a masc,2
upaññissati,fut,will explain; will teach,√ñā,issati fut,5
upaṭṭhapetvā 1,abs,having set up; having made sure is present,√ṭhā,,14
upaṭṭhāna 1,nt,attending (to); waiting on; serving,√ṭhā,a nt,9
upaṭṭhāpeti 2,pr,establishes; sets up; causes to be present; makes sure one has,√ṭhā,eti pr,14
upaṭṭhita 1,pp,present; in attendance,√ṭhā,a pp,11
upadisati,pr,points out; explains; shows; indicates,√dis 2,ati pr,3
upadduta,pp,afflicted (by); troubled (by); persecuted (by); oppressed (by); tyrannized (by),√du,a pp,11
upapajjati 1,pr,is reborn (in); re-arises (in),√pad,ati pr,3
upapajjamāna,prp,being reborn; re-arising,√pad,māna prp,10
upapajjeyya,opt,would be reborn (in); would re-arise (in),√pad,ati pr,7
upapanna 3,pp,because (of); possessed (of); having,√pad,a pp,11
upaya 1,masc,approach; engagement,√i 1,a masc,2
uparujjhati,pr,is stopped; is ended; is finished,√rudh 1,ati pr,13
upasaṅkamati,pr,approaches; goes (to); visits,√kam 1,ati pr,3
upasaṅkamana,nt,approaching; visiting,√kam 1,a nt,9
upasaṅkami,aor,approached; drew near; went (to),√kam 1,i aor,4
upasaṅkamitar 1,masc,visitor; guest,√kam 1,ar masc,6
upasaṅkamituṃ,inf,to approach; to visit; to go (to),√kam 1,,9
upasaṅkamitvā,abs,having approached; having gone (to); having drawn near (to),√kam 1,,8
upasanta 1,pp,calmed; cooled; composed; still; calm; at peace; tranquil,√sam 1,a pp,11
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),√sam 1,a masc,2
upasampajja 1,ger,reaching; attaining; arriving at,√pad,,8
upasampadā 2,fem,(vinaya) higher ordination as monastic,√pad,ā fem,7
upasaṃhita 1,pp,connected (with); concerning; to do (with),√dhā,a pp,11
upasussati,pr,dries up; withers; shrivels,√sus,ati pr,3
upassaya 1,masc,dwelling; shelter; home,√si 1,a masc,2
upavadati 1,pr,blames; criticizes; finds fault (with),√vad 1,ati pr,3
upahata 1,pp,injured; impaired; broken; deteriorated,√han,a pp,11
upādāna 2,nt,grasping; clinging; acquiring; appropriating; taking possession; identifying,√ādā,a nt,9
upādāya 2,ind,derived (from); dependent (on); based (on),√ādā,,13
upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of),√ādā,ati pr,3
upādiyamāna,prp,grasping; holding (onto); clinging (to); taking possession (of),√ādā,māna prp,10
upāyāsa,masc,affliction; difficulty; trouble; despair,√yas,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās,a masc,2
upāsikā,fem,female disciple; laywomen; female devotee,√ās,ā fem,7
upekkhaka,adj,mental poised; mentally balanced; equanimous; non-reactive; looking on; disregarding,√ikkh,aka adj,11
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,√ikkh,ā fem,7
upeti 2,pr,enters; gets involved (with); engages (in),√i 1,eti pr,3
uposatha 1,masc,full moon or new moon observance day,√vas 1,a masc,2
uppajjati 1,pr,appears; arises; takes place,√pad,ati pr,3
uppajjamāna,prp,arising; appearing; coming into being,√pad,māna prp,10
uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for),√pad,ati pr,7
uppanna 1,pp,arisen; appeared; come into being,√pad,a pp,11
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),√pad,a masc,2
ubhato,ind,both; on both sides (of); in both ways; dually,,,11
ulloketi,pr,looks up (at); gazes up (at),√lok,eti pr,3
ussahati 1.1,pr,makes an effort (in); strives (in); actively endeavours (in),√sah 1,ati pr,3
ussīdati,pr,rises up (onto); washes up (onto); runs aground (on),√sad,ati pr,3
ussuka,adj,zealously desiring; ambitious; anxiously striving; anxious; agitated; stressed,,a adj,11
uḷāra 1,adj,excellent; lofty; high; noble,√ar,a adj,11
ūna 2,nt,shortage; deficiency; lack; want; need,,a nt,9
eka 1,card,one (1),,eka card,12
eka 3,adj,alone; single; solitary,,eka adj,11
eka 4,adj,only,,eka adj,11
eka 7,ind,once,,,13
ekaka 1,adj,alone; solitary,,a adj,11
ekacca 1,pron,certain; one of,,ekacca pron,10
ekato 1,ind,on one side,,,8
ekadā 1,ind,one day; sometimes; at some (unspecified) time,,,6
ekādasa 1,card,eleven (11),,a1 card,12
eti 1,pr,comes (to),√i 1,eti pr 2,3
ettaka,adj,so much; this much; so long,,aka adj,11
ettāvatā,ind,to this extent; to such a degree; so far,,,13
ettha 1,ind,here; in this place; in this case; in this regard,,,8
etha,imp,come you all!,√i 1,eti pr 2,4
esī,adj,who is seeking; looking for,√es,ī adj,5
evaṃ 1,ind,thus; this; like this; similarly; in the same manner; just as; such,,,13
ehi,imp,come!,√i 1,eti pr 2,4
oka 1.1,masc,home; abode,√uc,a masc,2
okantati,pr,cuts off; carves off; saws off,√kat,ati pr,3
okirati,pr,sprinkles; scatters down (onto),√kir,ati pr,3
ogadha 1,pp,immersed (in); absorbed (in); plunged (into),√gāh,a pp,11
ogha 1,masc,(of water) flood; deluge; torrent,,a masc,2
ogha 2,masc,(of defilements) deluge; inundation; torrent,,a masc,2
ocaraka 1,adj,lowlife; mean; rough,√car 2,a adj,11
otarati 2,pr,fits (with); is found (in); cross-references (with),√tar 1,ati pr,3
otāriyamāna,prp,being checked (in); being gone into (in); being cross-referenced (in),√tar 1,māna prp,14
otāretabba,ptp,should be checked (in); should be gone into (in); should be cross-referenced,√tar 1,a ptp,14
ottappa,nt,regret; shame in wrongdoing; respect for others; (comm) originating from outside,√tapp 1,a nt,9
ottappati 1,pr,regrets; feels remorse (about),√tapp 1,ati pr,3
ottappī,adj,afraid of wrong; conscientious,√tapp 1,ī adj,5
odāta 1,pp,white,√dā 2,a pp,11
onaddha,pp,enveloped (with); covered (with); wrapped (with),√nadh,a pp,11
opanayika,adj,pragmatic; applicable; relevant,√nī,a adj,11
obhāsati 1.1,pr,speaks coarsely (to); speaks suggestively (to); talks rudely (to); talks dirty (to),√bhās 1,ati pr,3
obhāsetvā,abs,having lit up; having illuminated,√bhās 2,,14
orima,adj,nearest; closest (shore),,a adj,11
orena 1,ind,earlier (than); sooner (than),,,13
orohaka,masc,who descends; descender; who plunges into,√ruh,a masc,2
olokana,nt,looking (at); observing; checking,√lok,a nt,9
ovadati,pr,advises; instructs; admonishes,√vad 1,ati pr,3
ovadita,pp,advised; instructed; taught; admonished,√vad 1,a pp,11
ovāda,masc,advice; instruction encouragement; exhortation,√vad 1,a masc,2
ohāretvā,abs,having shaved; having shaved off,√har 1,,14
ohita 2,pp,deposited; hidden; confined within,√dhā,a pp,11
ohita 3,pp,(of attention) applied; paid,√dhā,a pp,11
oḷārika 1,adj,coarse; gross; substantial; physical; material,√ar,a adj,11
oḷārika 2,adj,(of food) solid; heavy; substantial,√ar,a adj,11
kakaca,masc,saw,,a masc,2
kaṅkhati 1.1,pr,has doubt (about); is uncertain (about),√kaṅkh 2,ati pr,3
kaṅkhituṃ,inf,to doubt; to be uncertain (about),√kaṅkh 2,,9
kacca,ger,doing; making; acting; performing,√kar,,8
kaccāna,masc,family name,,a masc,2
kaccha 1.3,masc,armpit hair,,a masc,2
kacchamāna,prp,being spoken; being talked about,√kath,māna prp,13
kaṭāha 1,masc,pot; pan; cauldron,,a masc,2
kaṇha 1,adj,dark; black,,a adj,11
kaṇha 3,masc,dark one; black one; evil one; epithet of Māra,,a masc,2
kata 1,pp,done; did; completed,√kar,a pp,11
katama,pron,what?; which (of the many)?,,a pron,9
kati,pron,how many?,,kati pron pl,9
kattar 1,masc,creator; maker,√kar,ar masc,6
kattukāma,adj,intending to do; wanting to make; wishing to cause,,a adj,9
kattuṃ,inf,to do; to make,√kar,,9
katthaci 1,ind,somewhere; anywhere,,,8
katvā 2,abs,having made,√kar,,8
katvāna 1,abs,having done,√kar,,8
kathaṃ 1,ind,how?,,,9
kathā 1,fem,talk; speech; conversation; discussion,√kath,ā fem,7
kadā,ind,when?,,,6
kanta 1.1,pp,charming (to); pleasant (to); desirable; agreeable (to),√kam 2,a pp,11
kandarā,fem,grotto; gorge; gulley; valley; ravine,√kand,ā fem,7
kappati,pr,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,√kapp 1,ati pr,3
kappeti 1,pr,prepares; arranges; forms; fashions; constructs,√kapp 1,eti pr,14
kamaṇḍaluka,adj,carrying water-pitchers,,a adj,11
kampati,pr,shakes; trembles; wavers; is disturbed,√kamp,ati pr,3
kammaniya,adj,ready; workable; suitable for use; functional,√kar,a adj,11
kara 1,adj,doing; making,√kar,a adj,11
karaṇa 1,adj,doing; making; causing; effecting,√kar,a adj,11
karaṇīya 2,ptp,should be done; must be done; ought to be made; to be observed,√kar,a ptp,14
karitvā 2,abs,having made,√kar,,8
karuṇā,fem,compassion; sympathy; kindness (towards unfortunate beings),,ā fem,7
kareyya 1,opt,could do; would do; could make,√kar,karoti pr,7
karoti 1,pr,does; acts; performs,√kar,karoti pr,3
karoti 2,pr,makes,√kar,karoti pr,3
karohi,imp,do!; make!,√kar,karoti pr,4
kalyāṇa 1,adj,good; favourable; propitious; beneficial; lovely,,aī adj,11
kallaṃ,ind,it is suitable (to); it is proper (to); it is fit (for),√kal 2,,9
kasā,fem,whip; crop; lash,,ā fem,7
kassaka,masc,farmer; ploughman,√kass,a masc,2
kassapa 1,masc,name of the 1st previous Buddha,,a masc,2
kaḷebara 1,nt,body,,a nt,9
kātabba 2,ptp,should be made,√kar,a ptp,14
kātuṃ 1,inf,to do; to perform,√kar,,9
kāma 1,adj,wishing (to); wanting (to); would be delighted (to),√kam 2,a adj,11
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 2,a masc,2
kāya 1.1,masc,body; physical body; physical process,√ci 1,a masc,2
kāya 1.2,masc,group; host; company; collection; multitude; mass,√ci 1,a masc,2
kāyika 1,adj,bodily; physical; related to the body,√ci 1,a adj,11
kāra 1,masc,deed; action; service,√kar,a masc,2
kāraka 2,masc,builder,√kar,a masc,2
kāraṇa 1,nt,task; labour,√kar,a nt,14
kārayamāna 2,prp,building,√kar,māna prp,14
kārāpesi 1,aor,had (something) built (for); had (something) made (for),√kar,esi aor,14
kāretabba 1,ptp,should be made,√kar,a ptp,14
kāreti 1,pr,makes one do; causes to make,√kar,eti pr,14
kāreti 2,pr,performs; practices,√kar,eti pr,14
kāreti 4,pr,builds; has constructed,√kar,eti pr,14
kāla 1.1,masc,time; occasion,√kal 1,a masc,2
kālena,ind,timely; at the right time; at an appropriate moment,√kal 1,,6
kāsāya 1,adj,organic brown; colour of Buddhist monks’ robes,,a adj,11
kāḷaka 2,nt,stain; dirt; dirty mark,,a nt,9
kira 1,ind,really; truly; definitely,,,13
kiriyā 1,fem,act; action; activity; deed; performance,√kar,ā fem,7
kiṃ 2,ind,how?; what?,,,9
kīva,ind,how far?; how much?,,,9
kukkuccaka,adj,principled; conscientious; scrupulous,√kar,aka adj,11
kukkuṭa 1,masc,cock; cockerel; rooster; chicken,,a masc,2
kukkuṭī,fem,hen; chicken,,ī fem,8
kucchi 1,masc,stomach; belly,√kus 2,i masc,4
kujjhati,pr,is angry (with); gets angry (with); is enraged (with),√kudh,ati pr,13
kujjhi,aor,,√kudh,i aor,13
kuṭi 1,fem,hut; simple monastic dwelling,√kuṭ 1,i fem,8
kuto 1,ind,from where?; where?,,,8
kupita,pp,indignant; angry; annoyed; outraged; offended,√kup,a pp,11
kumāra 2,masc,prince,√kumār,a masc,2
kumbha,masc,clay pot; water jar; pitcher,,a masc,2
kula 1,nt,family; house; household; respectable family,√kul,a nt,9
kula 2,nt,supporter; supporting family,√kul,a nt,9
kulla 1.1,masc,boat; raft,,a masc,2
kusala 1,adj,healthy; beneficial; useful; good; wholesome,,a adj,11
kusala 4,nt,good; benefit; merit; good deed; doing good,,a nt,9
kuvaṃ,ind,where?,,,9
kuhiṃ,ind,where?,,,8
kesa,masc,(head) hair,,a masc,2
kevala 1,adj,all; whole lot; altogether; total; entire; complete,,a adj,11
koci 2,ind,somewhere; anywhere,,,13
kodha 1.1,masc,anger; wrath; rage; temper,√kudh,a masc,2
kopa 1,masc,anger; wrath; rage; temper,√kup,a masc,2
kosa 1.4,masc,sheath; cocoon,√kus 2,a masc,2
kva,ind,where?,,,9
kha 2,nt,,,a nt,9
khajjati 1,pr,is being eaten (by); is being nibbled (by),√khād,ati pr,13
khajjamāna,prp,being eaten (by); being devoured (by),√khād,māna prp,13
khajji,aor,was being eaten (by),√khād,i aor,13
khaṇa,masc,moment; instant; point in time; opportunity,,a masc,2
khaṇati,pr,digs; digs up; uproots,√khaṇ,ati pr,3
khaṇḍicca,nt,brokenness; (comm) broken teeth,√khaṇḍ,a nt,9
khata 1.1,pp,hurt; injured,√khan,a pp,11
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,,a masc,2
khanti 1,fem,patience; endurance; tolerance,√kham,i fem,8
khandha 1,masc,mass; heap; pile; volume; aggregation,√khand,a masc,2
khandha 2,masc,shoulder; back,√khand,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,√khand,a masc,2
khama 2,adj,fit (for); capable (of); suitable (for),√kham,a adj,11
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),√khī,a masc,2
khādati,pr,chews; devours; eats,√khād,ati pr,3
khādi,aor,chewed; devoured; ate,√khād,i aor,4
khāyita 1,pp,chewed (by); bitten (by); gnawed (by),√khād,a pp,11
khāyita 2,nt,eating; chewing,√khād,a nt,11
khāri 1,fem,goods carried on a pole across the shoulders,,i fem,8
khipi 1.1,aor,threw; tossed; hurled,√khip 1,i aor,4
khiyyati,pr,criticises; complains (about); brings down,√khī,ati pr,3
khīṇa 1,pp,consumed; spent; finished; exhausted; slowly destroyed,√khī,a pp,11
khudda,adj,small; minute; tiny,,a adj,11
khuddā 1,fem,hunger,√khud,ā fem,7
khetta 1,nt,field; plot of land,√khi,a nt,9
khema 1,adj,well; safe; secure; at peace; at rest,√khi,a adj,11
khemī,adj,at peace; safe; secure,√khi,ī adj,5
gaccha 1,imp,go!; begone!; away with you!,√gam,ati pr,4
gacchati 1,pr,goes; walks; moves; wanders around,√gam,ati pr,3
gacchanta,prp,going; walking; travelling,√gam,anta prp,10
gaccheyya,opt,could go; would move; would walk,√gam,ati pr,7
gaṇḍa 1,masc,boil; abscess,,a masc,2
gaṇḍato,ind,as a boil; as an abscess,,,11
gaṇhati 1,pr,grabs hold (of); seizes; takes,√gah,ati pr,3
gata 1,pp,gone (to); went (for),√gam,a pp,11
gata 2,pp,become (a certain way); being in (some state); gone into (a state),√gam,a pp,11
gantukāma,adj,wishing to go (to); wanting to go (to),,a adj,9
gantuṃ,inf,to go (to); to travel (to),√gam,,9
gandha 1,masc,smell; scent; odour,√ghā,a masc,2
gabbha 3,masc,room; inside room; inner chamber,,a masc,2
gama,adj,going; able to go,√gam,a adj,11
gamanāya,nt,to go (to); for going to see; for visiting,√gam,a nt,9
gamissati,fut,will go,√gam,issati fut,5
gambhīra 3,adj,profound; abstruse; hard to fathom,,a adj,11
gayā 1,fem,name of a village,,ā fem,7
garu 1,adj,heavy; onerous; weighty,√gar 1,u adj,11
garu 3,adj,respected; esteemed,√gar 1,u adj,11
garu 4,masc,teacher; guru; esteemed person,√gar 1,u masc,6
garu 5,masc,respect; honour,√gar 1,u masc,6
gala 2.1,masc,neck; throat,√gal 2,a masc,2
gavesanta,prp,seeking; searching (for); looking (for),√gaves,anta prp,10
gavesī 1,adj,seeking; searching for; looking for,√gaves,ī adj,5
gaha 2,nt,house,√gah,a nt,9
gahita 1,pp,got; grasped; grabbed; held; seized; captured; taken,√gah,a pp,11
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,√gah,,8
gahetvā 5,abs,having arrested; having taken prisoner,√gah,,8
gaḷanta,prp,flowing; dripping; trickling; oozing,√gal 1,anta prp,10
gāthā 1,fem,verse; poem; stanza,√gā,ā fem,7
gāma 1,masc,village; hamlet,,a masc,2
gāmaṇi,masc,chief; chieftain; headman; leader,,i masc,4
gāmī 1,adj,leading to; going to; heading to,√gam,ī adj,5
gāmī 2,adj,going; moving; who goes,√gam,ī adj,5
gāha 1.2,masc,capture; seizure; being caught by,√gah,a masc,2
gāha 2.2,masc,hiding place,√gāh,a masc,2
gāhī 1,adj,grasping after; grabbing hold (of),√gah,ī adj,5
gimha,masc,heat; warmth,,a masc,2
gimhāna,nt,hot season; summer,,a nt,9
gihī,masc,householder; layperson,√gah,ī masc,5
guṇa 1.4,masc,string; thread; tie,,a masc,2
gutta,pp,guarded; protected; kept watch (over),√gup 2,a pp,11
guyha 1,ptp,should be hidden (in); should be concealed (in),√guh,a ptp,14
guhā,fem,cave; cavern,√guh,ā fem,7
gotama 1,masc,family name of the Buddha,,a masc,2
ghara 1,nt,house; home; household,,a nt,9
ghāna,nt,nose,√ghā,a nt,9
ca 2.1,ind,and; both,,,6
ca 2.2,ind,but; although; and if,,,6
cakka 1,nt,wheel,,a nt,9
cakkhu 1,nt,eye,√cakkh,u nt,9
cakkhu 2,nt,eyesight; faculty of seeing,√cakkh,u nt,9
cakkhumant 2,masc,person with sight; who can see,√cakkh,ant masc,6
caṅkama 1,masc,walking meditation; walking up and down (in meditation),√kam 1,a masc,2
catu,card,four (4),,catu card,12
catukkhattuṃ,ind,four times,,,13
catuttha 1,ordin,fourth (4th),,aī ordin,12
caturāsīti,card,eighty four (84),,i card,12
cattārīsā,card,forty (40),,ā card,12
cattālīsā,card,forty (40),,ā card,12
carati 1.1,pr,walks; wanders; goes around; travels; fares on,√car 1,ati pr,3
caramāna,prp,walking (in); walking about (in); wandering around (in); going around (in),√car 1,māna prp,10
cari 1.1,aor,(of cattle) grazed (in),√car 1,i aor,4
caritar,masc,who performs; practitioner (of),√car 2,ar masc,6
carituṃ 1.2,inf,to walk (in); to wander (in),√car 1,,9
caritvā 1.1,abs,having walked; having wandered,√car 1,,8
cariya,nt,conduct; behaviour; way of behaving; state of life,√car 2,a nt,9
cavamāna,prp,falling away; dying,√cu,māna prp,10
cāga 1,masc,giving up; relinquishing; abandoning,√caj,a masc,2
cāga 2,masc,generosity; sharing; liberality,√caj,a masc,2
cārī 1.1,adj,living; acting; behaving; conducting oneself,√car 2,ī adj,5
cārī 2.1,masc,roaming (of); wandering (of),√car 1,ī masc,5
citta 1.1,nt,mind; heart,√cit 1,a nt,9
cira,adj,(of time) long,,a adj,11
cīvara,nt,robe; cloth; robe-cloth,,a nt,9
cuta 1.1,pp,passed away; died,√cu,a pp,11
cūḷa,adj,lesser; smaller; minor,,a adj,11
ceteti 2,pr,intends; wills (to),√cit 1,eti pr,3
cela 2,nt,clothes; garment,√cil,a nt,9
cora,masc,thief; robber,√cur,a masc,2
cha 2.1,card,six (6),,a1 card,12
chakkhattuṃ,ind,six times,,,13
chaṭṭha,ordin,sixth (6th),,aī ordin,12
chaḍḍita,pp,thrown away; discarded; abandoned; disposed of,√chaḍḍ,a pp,11
chattiṃsā,card,thirty six (36),,ā card,12
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),√chand,a masc,2
chanda 2,masc,(vinaya) consent; agreement; approval,√chand,a masc,2
chijjati 1,pr,is cut off; is severed,√chid,ati pr,13
chinna 2,pp,cut off; severed,√chid,a pp,11
chinna 5,pp,(of a stream) cut across; breasted; forded,√chid,a pp,11
chetvā 1,abs,having cut off; having severed; (comm) having killed,√chid,,8
ja 1.1,adj,born (from); produced (by); made (of); caused (by),√jan,a adj,11
jaṭila,masc,dreadlocked ascetic,√jaṭ,a masc,2
janeti,pr,generates; produces,√jan,eti pr,14
jaya 1,nt,victory; conquest; winning,√ji 1,a nt,9
jarā,fem,old age; ageing,√jar,ā fem,7
jahati 1,pr,gives up; leaves; abandons; deserts,√hā 1,ati pr,3
jāgara,adj,awake; alert; lucid,√jāgar 1,a adj,11
jāgaranta,prp,awake; staying awake; alert; watchful; lucid,√jāgar 1,anta prp,10
jāta 1,pp,born; born (in); born (from),√jan,a pp,11
jānanta,prp,knowing; being aware (of),√ñā,anta prp,10
jānāti 1,pr,knows; understands,√ñā,āti pr,3
jāneyya,opt,should know; should understand; should find out,√ñā,āti pr,7
jāyati 2,pr,arises (in); is produced (from),√jan,ati pr,13
jiṇṇa 1,pp,aged; old; ancient,√jīr,a pp,11
jina 1,masc,conqueror; victor; champion; epithet of the Buddha,√ji 2,a masc,11
jināti 1,pr,conquers; overcomes; defeats,√ji 2,āti pr,3
jināti 2,pr,surpasses; beats; wins (over),√ji 2,āti pr,3
