pali,pos,meaning,root,construction,pattern,cl.
jhāna 2,nt,meditation; stage of meditation,"√jhā 3 ya (think, meditate)",√jhā + ana,a nt,9
jhāyati 1.2,pr,meditates; contemplates,"√jhā 3 ya (think, meditate)",jhāya + ti,ati pr,3
ñāti,masc,family; relative; kinsman,√ñā 5 nā (know),√ñā + ti,i masc,4
ñāya,masc,way; means; method; system,"√i 1 a (come, go)",nī > ny > ñ + √i > ay + *a,a masc,2
ṭīkā,fem,sub-commentary; commentary on a commentary,,,ā fem,7
ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity,√ṭhā 1 a (stand),√ṭhā + ti,i fem,8
ḍeti,pr,flies; flies up,√ḍi 1 a (fly),ḍe + ti,eti pr,3
taca 1,masc,(of a humna) skin,,,a masc,2
taṇḍula 1,masc,dehusked rice; (comm) grain from grass,,,a masc,2
taṇhā 1,fem,craving (for); wanting; desire (for),√tas 6 ṇhā (thirst),taṇhā + ā,ā fem,7
tattha 1,ind,there; in that place,,ta + ttha,,8
tattha 2,ind,in that regard; in that case; regarding that matter,,ta + ttha,,8
tatra 1,ind,there; in that place,,ta + tra,,8
tasati 1.1,pr,is afraid (of); fears,"√tas 1 a (tremble, fear)",tasa + ti,ati pr,3
tārituṃ,inf,to cross; to cross over,√tar 1 a (cross),√tar > tār + *ituṃ,,9
tāva 1,ind,that much; that far; as long as; to that extent; until; at least,,,,9
tiṭṭhati 3,pr,remains; persists; lasts,√ṭhā 1 a (stand),tiṭṭha + ti,ati pr,3
tila,nt,sesame seed,,,a nt,9
tena 2,ind,thereby; because of that; on that account,,ta + ena,,9
tena 3,ind,there,,ta + ena,,9
tvaṃ 1,pron,you (subject),,tumha + aṃ > tuvaṃ > tvaṃ,tvaṃ pron,5
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā 1 a (stand),√ṭhā > thā + ira > thera,a masc,2
daṇḍa 1,masc,stick; truncheon; nightstick; club,,,a masc,2
dadāti,pr,gives (to); offers (to); donates (to),√dā 1 a (give),dadā + ti,āti pr,3
danta 1.1,masc,tooth,,,a masc,2
dassanāya 2,nt,in order to visit; for the purpose of seeing,√dis 1 a (see),"dassa + ana + āya
dassana + āya",a nt,9
dassī 2,adj,who sees; who knows; who perceives; who understands,√dis 1 a (see),dassa + ī,ī adj,5
dava 1.1,masc,fun; joke; play; sport; pleasure,"√dū 1 a (go, run)",√dū > dav + *a,a masc,2
dātar 1,masc,giver; donor; bestower (of),√dā 1 a (give),√dā + tar,ar masc,6
dāna 1.1,nt,giving; offering; charity; generosity,√dā 1 a (give),√dā + ana,a nt,9
dāna 1.2,nt,,√dā 1 a (give),√dā + ana,a nt,9
dāra,masc,wife,,,a masc,2
dārikā,fem,girl; daughter,,dāra + ikā,ā fem,7
diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude,√dis 1 a (see),√dis + ti,i fem,8
disā 1,fem,direction; cardinal point,"√dis 1 a (point out, explain)",√dis + ā,ā fem,7
dukkaṭa 3,nt,class of vinaya offence; wrong-doing,"√kar 7 o (do, make)",dur + √kar + ta,a nt,9
dukkha 3,nt,discomfort; suffering; unease; unpleasantness; something unsatisfactory; trouble; a bummer; stress,√dukkh 1 a (be painful),√dukkh + a,a nt east,9
dubbalya,nt,weakness; lack of strength; feebleness; incapability,"√bal 1 a (be strong, live)","dur + √bal + a + ya
dubbala + ya",a nt,9
deti 1,pr,gives (to); donates (to); offers (to); hands (to),√dā 1 a (give),de + ti,eti pr,3
