pali,pos,meaning,root,construction,pattern,cl.
sammodi,aor,greeted; exchanged pleasantries; had a friendly conversation (with),"√mud 1 *a (be soft, happy)",saṃ + moda + i,i aor,4
saraṇa 2.1,nt,shelter; refuge; help,"√sar 1 a (go, flow)",√sar + aṇa,a nt,9
sarīra 1,nt,body,,,a nt,9
saha 1.2,ind,with; together (with); accompanied (by),,,,5
saṃvattati,pr,leads (to); results (in); causes,"√vatt 1 a (be, proceed)",saṃ + vatta + ti,ati pr,3
saṃvara 1,masc,control (according to); restraint (according to); holding back (according to),"√var 1 a (cover, dress, restrain)",saṃ + √var + a,a masc,2
saṃvara 2,masc,control (over); restraint (of); holding back (of),"√var 1 a (cover, dress, restrain)",saṃ + √var + a,a masc,2
saṃvidhātuṃ,inf,to organize; to arrange; to take care of,"√dhā 1 a (place, support)",saṃ + vi + √dhā + tuṃ,,9
saṃhāni,fem,decrease (of); dwindling (of); decay (of); weakening (of),√hā 3 ya (decrease),"saṃ + √hā + ni
saṃ + hāni",i fem,8
sākhā 1,fem,branch,,,ā fem,7
sāyitvā,abs,having tasted,√sāy 1 a (taste),√sāy + itvā,,8
sāli,masc,fine rice,,,i masc,4
sāsana 1,nt,message; letter,"√sās 1 a (order, instruct)",√sās + ana,a nt,9
sāvaka,masc,disciple; pupil; follower,√su 4 ṇā (hear),√su > sāv + *aka,a masc,2
sāvatthī,fem,name of a city; capital of Kosala,√su 1 a (flow),"√su > sāv + a + ttha + *ī
sāvattha + ī",ī fem,8
sikkhati 2,pr,trains (in); trains (for the purpose of); practices (for the sake of); practice (to),"√sikkh 1 a (learn, train)",sikkha + ti,ati pr,3
sikkhā 2,fem,training (in); practice (in),"√sikkh 1 a (learn, train)",√sikkh + ā,ā fem,7
sippika 1.1,masc,craftsman; artisan,,sippa + ika,a masc,2
siyaṃ,opt,I could be; may I be; I might be; I should be,√as 1 a (be),siya + aṃ,siyā opt,7
siyā 2,opt,there could be,√as 1 a (be),siya + ā,siyā opt,7
siyuṃ,opt,they would be; there could be,√as 1 a (be),siya + uṃ,siyā opt,7
sīmā 2,fem,(vinaya) boundary in which legal procedures are performed,,,ā fem,7
sīla 1,nt,ethical conduct; virtue; moral integrity,√sīl 1 a (conduct oneself),√sīl + a,a nt,9
sīlavant,adj,virtuous; ethical; moral,√sīl 1 a (conduct oneself),"√sīl + a + vant
sīla + vant",ant adj,6
sīha 1,masc,lion,,,a masc,2
sukha 2,nt,ease; comfort; happiness; pleasure; contentment,"√sukh 1 a (please, be comfortable)",√sukh + a,a nt east,9
sukhakāma,adj,wishing for ease; desiring comfort,,sukha + kāma,a adj,9
sukhāya,nt,comfortable (for),"√sukh 1 a (please, be comfortable)","√sukh + a + āya
sukha + āya",a nt,9
sukhī 2,masc,happy one; who is at ease; who is happy; who is comfortable,"√sukh 1 a (please, be comfortable)",√sukh + ī,ī masc,5
sugata 2,masc,Accomplished One; Fortunate One; epithet of the Buddha,√gam 1 a (go),su + √gam + ta,a masc,2
sugati,fem,good destination; happy fate,√gam 1 a (go),su + √gam + ti,i fem,8
suggati,fem,state of happiness; good destination; heaven,√gam 1 a (go),su + √gam + ti,i fem,8
suṇāti 1,pr,hears,√su 4 ṇā (hear),suṇā + ti,āti pr,3
suṇātu,imp,one must listen!; it must hear!,√su 4 ṇā (hear),suṇā + tu,āti pr,4
sutta 2.1,nt,scripture; discourse; sacred text,√siv 3 ya (sew),√siv > suv + ta,a nt,9
suve,ind,tomorrow,,,,6
sekha,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship,"√sikkh 1 a (learn, train)",√sikkh > sekh + *a,a masc,2
senā,fem,army; military,,,ā fem,7
soka,masc,grief; sorrow; sadness,√suc 1 *a (grieve),√suc > suk > sok + *a,a masc,2
soci,aor,grieved; was sad,√suc 1 *a (grieve),soca + i,i aor,4
sota 1.1,masc,stream; river; current,√su 1 a (flow),√su > so + *ta,a masc,2
sobhati 2,pr,looks beautiful (in),"√subh 1 *a (shine, adorn)",sobha + ti,ati pr,3
somanassa,nt,(mental) pleasure; happiness; gladness; joy; positive state of mind,√man 3 ya (think),"su > so + √man + as + *ya
sumanas + *ya",a nt,9
soracca,nt,kindness; gentleness; compassion; (comm) good conduct,"√ram 1 a (delight, please)","su > so + √ram + ta + *ya
surata + *ya",a nt,9
vaccha 1.1,masc,calf; yearling; young animal,,,a masc,2
vajjavant,adj,,"√vajj 8 *e (turn, avoid)",√vajj + ya + vant,ant adj,6
vaḍḍhati,pr,increases (in); grows (in); develops (in),"√vaḍḍh 1 a (grow, increase)",vaḍḍha + ti,ati pr,3
vattati 1,pr,proceeds; continues; goes forward; practices,"√vatt 1 a (be, proceed)",vatta + ti,ati pr,3
vattha 1.1,nt,cloth; clothes; robe,"√vas 8 *e (wear, dress)",√vas + ta,a nt,9
vatthi 1,fem,bladder; urinary tract,,,i fem,8
vatthu 2,nt,site; location; base; grounds,√vas 1 a (live),√vas + tu,u nt,9
vadati 1,pr,says (to); speaks (to); tells (to),"√vad 1 a (say, speak)",vada + ti,ati pr,3
vadeyya,opt,,"√vad 1 a (say, speak)",vada + eyya,ati pr,7
vanatha 2.1,masc,desire; craving,"√van 7 o (like, desire)","√van + a + tha
vana + tha",a masc,2
vasa 1.2,masc,control (over); authority (over); power (over); mastery (over),"√vas 1 a (want, control)",√vas + a,a masc,2
vassa 2,masc,rainy season; monsoon,√vass 1 a (rain),√vass + a,a masc,2
vā 1,ind,or; either or,,,,6
vāṇija,masc,trader; dealer,,vaṇija > vāṇija + *a,a masc,2
vādī 1,adj,speaking; saying; telling,"√vad 1 a (say, speak)",√vad > vād + *ī,ī adj,5
vāyamati,pr,tries (to); makes an effort (to); strives (for); exerts oneself (to),"√yam 1 a (control, strive, end)",vi + ā + yama + ti,ati pr,3
vikappa 1.1,masc,alteration (to); improvement (to); distinction (regarding),"√kapp 1 a (be fit, be suitable)",vi + √kapp + a,a masc,2
vicikicchituṃ,inf,to doubt; to be uncertain,"√cit 8 sa (think, intend)",vi + cikiccha + ituṃ,,9
vijjā 1,fem,knowledge; wisdom; understanding,"√vid 3 ya (know, understand)",√vid + yā,ā fem,7
viññāṇa 1,nt,awareness; consciousness; mind; fifth of the five aggregates,√ñā 5 nā (know),vi + √ñā + aṇa,a nt,9
viññū 1,adj,wise; intelligent; discerning; knowledgeable,√ñā 5 nā (know),vi + √ñā + ū,ū adj,6
vitakka 1,masc,thought; reflection; pondering,√takk 8 *e (think),vi + √takk + a,a masc,2
vidū 1,adj,wise; knowing; understanding,√vid 1 a (know),√vid + ū,ū adj,6
vinaya 1,masc,discipline; training,"√nī 1 a (lead, carry)",vi + √nī > nay + *a,a masc,2
vinipāta,masc,state of suffering; purgatory; underworld,√pat 1 a (fall),vi + ni + √pat > pāt + *a,a masc,2
vineyya 1,ger,removing; getting rid (of),"√nī 1 a (lead, carry)",vi + √nī > ne + *ya,,8
vipassanā,fem,insight; penetrating internal vision; introspection,√dis 1 a (see),vi + passa + anā,ā fem,7
vipāka 1,masc,(of an action) result; outcome; consequence; fruit,"√pac 1 a (cook, mature, ripen)",vi + √pac > pāk + *a,a masc,2
vippaṭisārī,adj,remorseful; regretful; repentant; sorry,√sar 1 a (remember),vi + pati + √sar > sār + *ī,ī adj,5
vippahāya,ger,completely abandoning; totally renouncing,√hā 1 a (abandon),vi + pa + √hā + ya,,8
vibhaṅga 1,masc,analysis; classification; breakdown,"√bhañj 1 a (break, destroy)",vi + √bhañj > bhaṅg + a,a masc,2
vibhūsana,nt,decorating; adorning,"√bhūs 1 a (adorn, decorate)",vi + √bhūs + ana,a nt,9
vimutti,fem,release; liberation; deliverance; freedom; emancipation,"√muc 2 ṃa (release, free)",vi + √muc + ti,i fem,8
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),√raj 3 ya (desire),vi + √raj > rag > rāg + *a,a masc,5
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),√raj 1 a (colour),vi + √raj > rag > rāg + *a,a masc,2
viriya,nt,effort; energy; might; power,"√vīr 8 *e (be heroic, hostile)",√vīr + iya,a nt,9
visahati 1.1,pr,is able (to),√sah 1 a (be able),vi + saha + ti,ati pr,3
visuddhi 1.1,fem,purity (of); purification (of); holiness,√sudh 3 ya (be pure),vi + √sudh + ti,i fem,8
visesa 1,masc,distinction; attainment; superior state; eminence,"√sis 8 *e (remain, distinguish)",vi + √sis > ses + *a,a masc,2
vivicca,ger,separating (from); aloof (from),√vic 1 a (separate),vi + √vic + ya,,8
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,√vic 1 a (separate),vi + √vic > vec > vek + *a,a masc,2
viharati 1,pr,lives (in); dwells (in); stays (in),√har 1 a (live),vi + hara + ti,ati pr,3
vihārī,adj,(of a state of being) living in; who has; being,√har 1 a (live),vi + √har > hār + *ī,ī adj,5
vīmaṃsā 1,fem,inquiry; judgement; investigation; discrimination,√man 3 sa (think),vīmaṃsa + ā,ā fem,7
vīriya 1,nt,effort; energy; might; power,"√vīr 8 *e (be heroic, hostile)",√vīr + iya,a nt,9
vīhi,masc,rice paddy; Oryza sativa,,,i masc,4
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),"√sam 3 ya (be calm, tired)",vi + upa + √sam + a,a masc,2
vedanā 1,fem,"(pleasant, unpleasant or neutral) felt experience; feeling; sensation; second of the five aggregates","√vid 8 *e (know, sense, feel)",√vid > ved + *anā,ā fem,7
vedeti 1,pr,feels; experiences; senses,"√vid 8 *e (know, sense, feel)",vede + ti,eti pr,3
vepulla 1,nt,expansion; full development; maturity,√pul 8 *e (increase),"vi > ve + √pul + a + *ya
vipula + *ya",a nt,9
vesālī,fem,name of a city; capital of the Licchavis,,,ī fem,8
vosāna 1,nt,perfecting; accomplishing; attaining; mastering,"√sā 1 a (complete, accomplish)",vi + ava + √sā + ana,a nt,9
voharati 1,pr,speaks; communicates; gives expression; uses language,√har 1 a (carry),vi + ava + hara + ti,ati pr,3
vyākaraṇa 1,nt,answering; replying,"√kar 7 o (do, make)",vi > vy + ā + √kar + aṇa,a nt,9
hattha 1,masc,hand,,,a masc,2
harati 2,pr,takes; steals; robs,√har 1 a (carry),hara + ti,ati pr,3
hitāya,nt,beneficial (for); advantageous (for),"√dhā 1 a (place, support)","√dhā > (da)h + ita + āya
hita + āya",a nt,9
hitvā,abs,having left; having left behind; having abandoned,√hā 1 a (abandon),√hā + itvā,,8
hiri,fem,sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside,√hir 3 ya (be ashamed),√hir + i,i fem,8
hirimant,adj,having a conscience; with scruples; with an internal sense of right and wrong,√hir 3 ya (be ashamed),"√hir + i + mant
hiri + mant",ant adj,6
hoti 1,pr,is; becomes,√hū 1 a (be),ho + ti,hoti pr,4
hotu 1,imp,may it be (for)!,√hū 1 a (be),ho + tu,hoti pr,4
hotha,imp,may you all be!; I pray you all may be!,√hū 1 a (be),ho + tha,hoti pr,4
hontu,imp,may they be!; they must be!,√hū 1 a (be),ho + ntu,hoti pr,4
adhigama 2,masc,attainment (of); achievement (of),√gam 1 a (go),adhi + √gam + a,a masc,2
pūjā 1,fem,veneration (of); homage (to); honour (for),"√pūj 8 *e (honour, venerate)",√pūj + ā,ā fem,7
adhigaccheyya 2,opt,would experience; would feel,√gam 1 a (go),adhi + gaccha + eyya,ati pr,7
