pali,pos,meaning,root,construction,pattern,cl.
ajjhattaṃ,ind,internally; inwardly; personally,,"adhi > adhy > ajjh + atta + aṃ
ajjhatta + aṃ",,20
ajjhabhāsi,aor,addressed; spoke (to someone with),√bhās 1 a (speak),adhi > adhy > ajjh + a + √bhās + i,i aor,4
ajjhāruha,adj,which takes over; which overwhelms; which overgrows,"√ruh 1 a (ascend, grow)",adhi > adhy > ajjh + ā + √ruh + a,a adj,11
ajjhāvasatar,masc,who lives in a home; who is domestically settled,√vas 1 a (live),adhi > adhy > ajjh + ā + vasa + tar,ar masc,6
ajjhāvasati 1,pr,lives (in); inhabits; stays (in); is settled (in),√vas 1 a (live),adhi > adhy > ajjh + ā + vasa + ti,ati pr,3
ajjhupagata 1,pp,arrived (at); reached; come to; entered; become,√gam 1 a (go),adhi > adhy > ajjh + upa + √gam + ta,a pp,11
ajjhupekkhitar,masc,equanimous observer (of); who observes indifferently,"√ikkh 1 a (see, mark)",adhi > adhy > ajjh + upa + √ikkh + itar,ar masc,6
ajjhokirati,pr,scatters down; pours down,"√kir 1 a (scatter, sprinkle)",adhi > adhy > ajjh + ava + kira + ti,ati pr,3
ajjhositabba,ptp,should be fixated on; should be clung to; should be tied to,"√sā 1 a (complete, accomplish)",adhi > adhy > ajjh + ava + √sā + itabba,a ptp,14
ajjhohari,aor,swallowed,"√har 1 a (take, seize)",adhi > adhy > ajjh + ava + √har + i,hari aor,4
añjana 2,nt,eye ointment,"√añj 1 a (smear, anoint)",√añj + ana,a nt,9
añjanamakkhita,adj,with eyeliner; outlined,,añjana + makkhita,a adj,19
añjali 1,masc,palms placed together (as a token of respect),√añj 1 a (pay respect),√añj + ali,i masc,4
añña 1.1,pron,another; other; different; someone else; not oneself,,,a pron,10
aññatara 1,pron,a certain; a,,añña + tara,a pron,10
aññatara 2,pron,one (of); either one (of),,añña + tara,a pron,10
aññatitthiya,adj,who belongs to another sect; who follows another religion,,añña + titthiya,a adj,20
aññatra 2,ind,apart (from); aside (from); other (than); except (for); without,,añña + tra,,13
aññathā 1,ind,differently; otherwise,,añña + thā,,13
aññadatthu 1,ind,most certainly; indeed; only,,añña + [d] + atthu,,16
aññadatthu 2,ind,on the contrary; however; on the other hand,,añña + [d] + atthu,,16
aññamaññābhigijjhanti,pr,they are jealous of each other; they envy each other; they covet one another's (wealth),,aññamaññaṃ + abhigijjhanti,ati pr,17
aññā 1,fem,gnosis; spiritual insight; awakening; final knowledge,√ñā 5 nā (know),ā + √ñā + ā,ā fem,7
aññātaka 1,adj,unrelated; not blood-related,√ñā 5 nā (know),"na > a + √ñā + ta + ka
aññāta + ka",aka adj,11
aññātāvindriya,nt,faculty of one who is awakened,,aññātāvī + indriya,a nt,19
aññātuṃ,inf,to know; to understand,√ñā 5 nā (know),ā + √ñā + tuṃ,,9
aññāya 1,ger,knowing; understanding; comprehending,√ñā 5 nā (know),ā + √ñā + ya,,8
aññindriya,nt,faculty of awakening; power of final knowledge,,aññā + indriya,a nt,19
aṭṭīyati,pr,is troubled (by); is perturbed (by),√add 8 īya (afflict),aṭṭīya + ti,ati pr,13
aṭṭha 1.1,card,eight (8),,,a1 card,12
aṭṭhakathā,fem,commentary; exegesis; detailed explanation,,aṭṭha + kathā,ā fem,19
aṭṭhaṅgika,adj,with eight parts; eight-limbed; eightfold,,aṭṭha + aṅgika,a adj,20
aṭṭhapadakata,adj,arranged in eight ways; plaited eightfold,,aṭṭhapada + kata,a adj,19
aṭṭhama 1,ordin,eighth (8th),,aṭṭha + ma,aī ordin,12
aṭṭhasata,card,one hundred and eight (108),,aṭṭha + sata,a2 card,12
aṭṭhārasa 1,card,eighteen (18),,aṭṭha > aṭṭhā + dasa + *a,a1 card,12
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā 1 a (stand),a + √ṭhā + si,āsi aor,4
aṭṭhi 1.1,nt,bone,,,i nt,9
aṭṭhi 2.1,masc,intention; goal; purpose,"√ar 1 a (move, attain)",√ar + tha > aṭṭhi,i masc,4
aḍḍha 1.1,adj,half,,,a adj,11
aḍḍhateyyamāsa,masc,two and a half months,,aḍḍhateyya + māsa,a masc,19
aṇu 1,adj,small; tiny; minute; minuscule,,,u adj,11
aṇu 2,adj,subtle; fine,,,u adj,11
aṇumatta,adj,tiniest; smallest,,aṇu + matta,a adj,19
aṇḍa 1,nt,egg,,,a nt,9
atandita,pp,energetic; effortful; active; alert,"√tand 1 a (be slow, be lazy)",na > a + √tand + ita,a pp,11
atikkama 1,masc,surpassing; transcending; going beyond; overcoming (of),√kam 1 a (go),ati + √kam + a,a masc,2
atikkamati 3,pr,passes by; goes past,√kam 1 a (go),ati + kama + ti,ati pr,3
atikkāmayanta,prp,exceeding; going over,√kam 1 *aya (go),ati + kāmaya + nta,anta prp,14
atikkāmeti 2,pr,exceeds; goes over; oversteps,√kam 1 *e (go),ati + kāme + ti,eti pr,14
atipātī 1,adj,attacking; harming; killing,√pat 1 *e (fall),ati + pāte + ī,ī adj,14
atippago,ind,too early (to),,ati + pago,,9
atiyātuṃ,inf,to re-enter,√yā 1 a (go),ati + √yā + tuṃ,,9
atireka 1,adj,surplus; excess; leftover; too much,√ric 2 ṃa (empty),ati + √ric > rek + *a,a adj,11
atirekacīvara,nt,surplus robe; excess robe-cloth,,atireka + cīvara,a nt,19
atīta 2,pp,past; gone past; bygone,"√i 1 a (come, go)",ati + √i + ta,a pp,11
atītamaddhānaṃ,ind,in the past; previously,,"atīta + aṃ + addha + ānaṃ
atītamaddhā + ānaṃ",,17
atītānāgatapaccuppanna,adj,"in the past, the future and the present",,atīta + anāgata + paccuppanna,a adj,19
atula 1,masc,name of a man,√tul 8 *e (weigh),na > a + √tul + a,a masc,5
atta 1.1,masc,self; soul; spirit; essence,,,a2 masc,18
attakilamatha,masc,self-mortification; self-torture,,atta + kilamatha,a masc,19
attakilamathānuyoga,masc,practice of self-mortification,,atta + kilamatha + anuyoga,a masc,19
attatā,fem,selfhood; beingness; state of being,,atta + tā,ā fem,7
attato,ind,as oneself; as self,,atta + to,,11
attanā 1,masc,with oneself; by oneself,,atta + anā,a2 masc,18
attani 1,masc,in oneself; for oneself,,atta + ani,a2 masc,18
attani 2,masc,when self; when oneself,,atta + ani,a2 masc,10
attaniya,adj,one's own; belonging to oneself; fit to be a self,,atta + [n] + iya,a adj,11
attano 1,masc,for self; for oneself; to oneself,,atta + no,a2 masc,18
attano 2,masc,of self; of oneself; one's own; my own,,atta + no,a2 masc,18
attapaṭilābha,masc,acquisition of a self; personal existence,,atta + paṭilābha,a masc,19
attabyābādha,masc,hurting oneself; harm to oneself; self-affliction,,atta + byābādha,a masc,19
attabhāva 2,masc,incarnation; personal existence; individual form; physical identity,,atta + bhāva,a masc,19
attabhāvapaṭilābha 1,masc,incarnation; personal existence,,attabhāva + paṭilābha,a masc,19
attamana,adj,pleased; happy; delighted; satisfied,,atta + mana,a adj,19
attānaṃ,masc,self; himself; herself; itself; yourself; oneself (object),,atta + ānaṃ,a2 masc,18
attuddesa,adj,intended for oneself; designated for oneself,,atta + uddesa,a adj,19
attha 1.1,masc,meaning; sense; significance,"√ar 1 a (move, attain)",√ar + tha,a masc,2
attha 1.2,masc,benefit; profit; good; welfare,"√ar 1 a (move, attain)",√ar + tha,a masc,2
attha 1.3,masc,purpose; use; function; goal,"√ar 1 a (move, attain)",√ar + tha,a masc,2
attha 2.1,masc,need (for); want (for),√atth 8 *aya (wish for),√atth + a,a masc,2
attha 3.1,masc,home; rest; shelter,,,a masc,2
attha 4.2,imp,you (all) must be; may you (all) be,√as 1 a (be),√as + tha > attha,atthi pr,4
atthaṅgata 1,pp,(of the sun) set; gone down,,atthaṃ + gata,a pp,19
atthaṅgate sūriye,idiom,after sunset,,atthaṅgate + sūriye,,10
atthaṅgama 1,masc,disappearance (of); vanishing (of); settling down (of); subsiding (of); passing away (of),,atthaṃ + gama,a masc,19
atthasaṃhita,adj,profitable; meaningful; beneficial,,attha + saṃhita,a adj,19
atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful,,attha + vādī,ī adj,19
atthaveda,masc,inspiration from the meaning; (comm) inspiration from the commentary,,attha + veda,a masc,19
atthaṃ,ind,for the sake (of); for the purpose (of); for the benefit (of),"√ar 1 a (move, attain)","√ar + tha + aṃ
attha + aṃ",,13
atthāya 1,masc,for the purpose (of); for the sake (of); for the benefit (of),"√ar 1 a (move, attain)","√ar + tha + āya
atthāya + āya",a masc,9
atthāya 2,masc,fortunate (for); beneficial (for); useful (for),"√ar 1 a (move, attain)","√ar + tha + āya
attha + āya",a masc,9
atthi 1.1,pr,there is; there exists,√as 1 a (be),√as + ti > atthi,atthi pr,4
atthi 2.1,masc,seeker; who wants; who needs; who desires,√atth 8 *e (wish for),√atth + i,i masc,4
atthitā,fem,existence; idea of existence; fact of being present,√as 1 a (be),"√as + ti + tā
atthi + tā",ā fem,7
atha 1,ind,then; also; and so; after that,,,,13
atha 2,ind,but; rather; even,,,,13
atho,ind,and then; or; after that; because of,,atha + u > atho,,13
athopi,sandhi,and too; and even; nor even,,atho + api,,16
adassana 1,nt,out of sight (of); disappearance (of); where one cannot be seen,√dis 1 a (see),na > a + dassa + ana,a nt,9
adassāvī,adj,who has no regard (for),√dis 1 a (see),na > a + dassa + āvī,ī adj,5
adāsi,aor,gave (to); offered (to),√dā 1 a (give),a + √dā + si,āsi aor irreg,4
adiṭṭha 1.1,pp,not seen; unseen,√dis 1 a (see),na > a + √dis + ta,a pp,11
adiṭṭhapubba,adj,never seen before (by),,adiṭṭha + pubba,a adj,19
adinna 1.1,nt,which is not given; something not offered,√dā 1 a (give),na > a + √dā > dī + na,a nt,11
adinnādāyī 1,adj,who steals; who takes what is not offered,,adinna + ādāyī,ī adj,19
adukkha,adj,comfortable; free from trouble; without suffering; pain-free,√dukkh 1 a (be painful),na > a + √dukkh + a,a adj,11
adukkhamasukha 1,adj,neutral; neither unpleasant nor pleasant; neither comfortable nor uncomfortable,,adukkhaṃ + asukha,a adj,19
adesayi,aor,taught; explained,"√dis 1 *aya (point out, explain)",a + desaya + i,i aor,14
addhāna 1,nt,long road; highroad; journey,,addha + āna,a nt,9
addhāna 2,nt,time; period; extent,,addha + āna,a nt,9
addhānakkhama,adj,able to endure a journey,,addhāna + khama,a adj,19
addhika,masc,traveller; tramp; homeless wanderer,,addha + ika,a masc,2
addhuva,adj,not stable; not enduring; not eternal,"√dhuv 1 a (be firm, be solid)",na > a + √dhuv + a,a adj,11
addhuvato,ind,as unstable; as unenduring; as not eternal,"√dhuv 1 a (be firm, be solid)","na > a + √dhuv + a + to
addhuva + to",,13
adhamma 1,masc,misconduct; immoral behaviour; unjust means; cheating,"√dhar 1 a (hold, carry, endure)",na > a + √dhar + ma,a masc,5
adhamma 2,masc,false teaching; something opposed to the teaching,"√dhar 1 a (hold, carry, endure)",na > a + √dhar + ma,a masc,5
adhikaraṇa 1,nt,(vinaya) issue; legal procedure; disciplinary proceedings,"√kar 7 o (do, make)",adhi + √kar + aṇa,a nt,9
adhigacchati 1,pr,gets to; attains; finds; acquires; obtains,√gam 1 a (go),adhi + gaccha + ti,ati pr,3
adhigata 1,pp,got; acquired; attained; achieved,√gam 1 a (go),adhi + √gam + ta,a pp,11
adhicitta,nt,meditation; mental development; higher consciousness,"√cit 8 *e (think, intend)",adhi + √cit + ta,a nt,9
adhicittamanuyutta,adj,engaged in meditation; devoted to mental development; cultivating the higher mind,,adhicittaṃ + anuyutta,a adj,19
adhiṭṭhahāna,prp,concentrating (on); focusing (on); fixing one's attention (on),√ṭhā 1 a (stand),adhi + ṭhaha + āna,āna prp,10
adhiṭṭhahi 1,aor,fixed attention (on),√ṭhā 1 a (stand),adhi + ṭhaha + i,i aor,4
adhiṭṭhāna 2,nt,standpoint; prejudice; bias; preconception,√ṭhā 1 a (stand),adhi + √ṭhā + ana,a nt,9
adhimatta,adj,extreme; excessive; utmost; intense,√mā 5 nā (measure),adhi + √mā + ta,a adj,11
adhimuccati 2,pr,is settled (on); has made up one's mind (about); has faith (in); inclines (towards),"√muc 2 ya (release, free)",adhi + mucca + ti,ati pr,13
adhimutta 1,pp,set (on); intent (on); focused (on); fixed (on); fixated (on); resolved (on),"√muc 2 ṃa (release, free)",adhi + √muc + ta,a pp,11
adhunā,ind,recently; now; presently; at this time,,,,13
adhunāgata,adj,recently come (to); newly arrived (to),,adhunā + āgata,a adj,19
adho 1,ind,below; under,,,,13
anagāriya 1,nt,homelessness; homeless state,,na > an + agāra + iya,a nt,9
anaṅgaṇa,adj,spotless; blemish free,"√añj 1 a (smear, anoint)",na > an + √añj > aṅg + aṇa,a adj,11
anañña,pron,not another; no other,,na > an + añña,a pron,10
anaññāta,pp,unknown; not understood,√ñā 5 nā (know),na > an + ā + √ñā + ta,a pp,11
anaññātaññassāmītindriya,nt,faculty that senses 'I will know the unknown',,na > an + aññāta + ñassāmi + iti + indriya,a nt,19
anatimānī,adj,who is not conceited; who is not arrogant; who is humble,√man 3 ya (think),na > an + ati + √man > mān + *ī,ī adj,5
anatiritta,pp,not leftover; not remaining,√ric 2 ṃa (empty),na > an + ati + √ric + ta,a pp,11
anatīta,pp,not past; not free from; not exempt; unavoidable; subject to,"√i 1 a (come, go)",na > an + ati + √i + ta,a pp,11
anatta 1,adj,impersonal; not oneself; non-subjective; not suitable to identify with; coreless; essenceless,,na > an + atta,a adj,11
anatta 2,masc,which is impersonal; non-self; not subject to identification,,na > an + atta,a2 masc,18
anattato,ind,as impersonal; as not oneself; as non-subjective,,"na > an + atta + to
anatta + to",,11
anattani,masc,in what is not oneself; within what is impersonal,,na > an + atta + ni,a2 masc,18
anattamana,adj,irritated; annoyed; displeased,,na > an + atta + mana,a adj,19
anattha 1,masc,harm; misfortune; damage; injury; hurt,"√ar 1 a (move, attain)",na > an + √ar + tha,a masc,5
anatthasañhita,adj,unprofitable; meaningless; unbeneficial,,na > an + attha + sañhita,a adj,19
ananugiddha,pp,not greedy; without desire (among),√gidh 3 ya (be greedy),na > an + anu + √gidh + ta,a pp,11
ananuyutta,pp,not devoted (to); not applying oneself (to); not practising,"√yuj 2 ṃa (yoke, join)",na > an + anu + √yuj + ta,a pp,11
ananuvajja,ptp,not blameworthy (for); praiseworthy (for); faultless (for),"√vad 1 a (say, speak)",na > an + anu + √vad + ya,a ptp,14
anabbhita,pp,not rehabilitated; not reintegrated; not re-admitted,"√vhe 1 a (call, name)",na > an + ā + bhe + ita,a pp,11
anabhāva,masc,obliteration; annihilation; total destruction,"√bhū 1 a (be, become)",anu + a + √bhū > bhāv + *a,a masc,2
anabhāvaṃkata,adj,utterly obliterated; totally annihilated,,anabhāvaṃ + kata,a adj east,19
anabhinanditvā,abs,having not approved (of); having not applauded,"√nand 1 a (delight, enjoy)",na > an + abhi + √nand + itvā,,8
anabhineti,pr,does not invite; does not conduct towards,"√nī 1 a (lead, carry)","na > an + abhi + ne + ti
an + abhineti",eti pr,5
anabhibhūta,pp,unconquered (by); unvanquished (by); undefeated (by); not overcome (by),"√bhū 1 a (be, become)",na > an + abhi + √bhū + ta,a pp,11
anaya 1.1,masc,trouble; tragedy; misfortune; calamity; (comm) suffering,"√i 1 a (come, go)",na > an + √i > ay + *a,a masc,5
anayabyasana,nt,misfortune and disaster; tragedy and ruin,,anaya + byasana,a nt,19
anariya 1,adj,ignoble; vulgar; coarse,,na > an + ariya,a adj,11
anariyadhamma,masc,ignoble nature; poor in character,,na > an + ariya + dhamma,a masc,19
analaṅkata 1,adj,with insatiable appetite (for); unsatisfiable (by),,na > an + alaṃ + kata,a adj,19
analasa,adj,active; energetic; industrious; not lazy,"√las 1 a (shine, be active)",na > a + na + √las + a,a adj,11
anavajja 1,ptp,irreproachable; faultless; blameless; innocent,"√vad 8 *e (salute, praise)",na > an + ava + √vad + ya,a ptp,14
anavajjatā,fem,blamelessness; absence of sin,"√vad 8 ya (salute, praise)","na > an + ava + √vad + ya + tā
anavajja + tā",ā fem,7
anavasesa 1,adj,all; without exception,"√sis 8 *e (remain, distinguish)",na > an + ava + √sis > ses + *a,a adj,11
anāgata 1,pp,not come; not arrived; not present,√gam 1 a (go),na > an + ā + √gam + ta,a pp,11
anāgata 2,pp,future,√gam 1 a (go),na > an + ā + √gam + ta,a pp,11
anāgatamaddhānaṃ,ind,in the future,,"anāgata + [m] + addhāna + aṃ
anāgatamaddhāna + aṃ",,16
anāgāmī,adj,who does not return; non-returning,√gam 1 a (go),na > an + ā + √gam > gām + *ī,ī adj,5
anātura,adj,healthy; free from suffering,"√tur 1 a (hurt, be sick)",na > an + ā + √tur + a,a adj,11
anāthapiṇḍika,masc,name of the Buddha's chief lay disciple,,anātha + piṇḍika,a masc,19
anādariya,nt,disrespect (for); rudeness (towards); contemptuous (towards),"√dar 1 a (respect, have affection)","na > an + ā + √dar + a + iya
anādara + iya",a nt,9
anādiya,ger,not taking up,"√ādā 3 ya (take, seize)","na > an + √ādā > ādi + ya
an + ādiya",,8
anānupuṭṭha,pp,unasked; unquestioned,"√pucch 1 a (ask, question)",na > an + anu + √pucch + ta,a pp,11
anāpucchanta,prp,not asking permission; not informing (somebody about something),"√pucch 1 a (ask, question)",na > an + ā + puccha + nta,anta prp,10
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,"√lī 3 ya (stick, hide)",na > an + ā + √lī > lay + *a,a masc,5
anāsava 1,adj,free from the effluents; taint-less; undefiled,√su 1 a (flow),na > an + ā + √su > sav + *a,a adj,11
anāhāra,adj,without fuel; without nutriment,"√har 1 a (take, seize)",na > an + ā + √har > hār + *a,a adj,11
aniketa,adj,homeless,√kit 1 a (live),na > an + ni + √kit > ket + *a,a adj,11
aniketacārī,adj,wandering homeless; roaming without an abode,,aniketa + cārī,ī adj,19
aniketasārī,adj,wandering homeless; roaming without an abode,,aniketa + sārī,ī adj,19
anicca 1,adj,impermanent; inconstant; not lasting; discontinuous; disordered; unstable; unreliable; irregular,,na > a + ni + tya,a adj,11
aniccato,ind,as impermanent; as unstable; as transient; as unreliable,,"na > a + nicca + to
anicca + to",,11
aniccānupassī,adj,observing impermanence (of); watching instability (of),,anicca + anupassī,ī adj,19
anindita 2,pp,not blamed; not criticized,"√nind 1 a (blame, abuse)",na > a + √nind + ita,a pp,11
anibbisanta,prp,not understanding; not penetrating; not finding; not getting hold (of),√vis 1 a (enter),na > a + nī + bisa + nta,anta prp,10
animitta 1,pp,signless; featureless; free of mental images,√mā 5 nā (measure),na > a + ni + √mā > mi + ta,a pp,11
anissita 1,pp,detached (from); disengaged (from); separated (from); independent (of),"√si 1 a (depend on, associate with)",na > a + ni + √si + ta,a pp,11
anivesana,adj,without attaching; not clinging; without resting,√vis 1 a (enter),na > a + ni + √vis > ves + *ana,a adj,11
anīgha 1,adj,untroubled; undisturbed; calm,,na > an + īgha,a adj,11
anukampī,adj,compassionate; sympathetic; concerned (for),"√kamp 1 a (shake, tremble)",anu + √kamp + ī,ī adj,5
anuggaha 2.1,masc,support; help; assistance,√gah 6 ṇhā (grasp),anu + √gah + a,a masc,2
anuṭṭhita 1.1,pp,practised; established; (comm) repeatedly practised,√ṭhā 1 a (stand),anu + √ṭhā + ita,a pp,11
anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to),,na > an + ud + tara,a adj,11
anudhāvati 1,pr,runs along; sprints along,"√dhāv 1 a (run, flow)",anu + dhāva + ti,ati pr,3
anupagamma 1,ger,avoiding; not going near,√gam 1 a (go),"na > an + upa + √gam + ya
an + upagamma",,8
anupaddava,adj,safe; free from danger; uninjured; unafflicted,"√du 1 a (burn, torment)",na > an + upa + √du > dav + *a,a adj,11
anupabbajjā,fem,following (of) into the monastic life; renunciation under,√vaj 1 a (go on),anu + pa + √vaj > baj + yā,ā fem,7
anuparidhāvati,pr,runs around; circles around; rotates around,"√dhāv 1 a (run, flow)",anu + pari + dhāva + ti,ati pr,3
anupariyāya 1,adj,going around; encircling; perimeter,√yā 1 a (go),anu + pari + √yā + [y] + a,a adj,11
anupariyāyapatha,masc,encircling path; perimeter road,,anupariyāya + patha,a masc,19
anuparivattati 1,pr,circles around; revolves around; rotates around,"√vatt 1 a (be, proceed)",anu + pari + vatta + ti,ati pr,3
anuparivattiyamāna,prp,being revolved around; being rotated; being done routinely; being done regularly,"√vatt 1 iya (be, proceed)",anu + pari + vattiya + māna,māna prp,13
anupalabbhamāna 1,prp,not being found; being nonexistent,√labh 1 ya (get),na > an + upa + labbha + māna,māna prp,13
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,√dis 1 a (see),anu + passa + ī,ī adj,5
anupādāya,ger,not holding (onto); not grasping (onto); detaching (from); not taking possession (of),"√ādā 3 ya (take, seize)","na > an + upa + √ādā + ya
an + upādāya",,8
anupādiyanta,prp,not attaching (to); not taking as mine; not grasping (onto); not clinging (to); not taking possession (of),"√ādā 3 ya (take, seize)",na > an + upa + ādiya + nta,anta prp,10
anupubbakiriyā,fem,gradual undertaking; step-by-step activity; successive process,,anupubba + kiriyā,ā fem,19
